XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1716819,56990000;5952648,40300000;1;Städt. Kinderkrippe Idlhofgasse;Idlhofgasse 74;8020;Graz;+43(0)316/872-2781;Kinderbetreuung;Kinderkrippe;Stadt Graz - Stadtvermessung;47,064743;15,422453
1713671,02520000;5954538,86580000;2;Kinderkrippe der Barmherzigen Brüder;Georgigasse  85-89;8020;Graz;+43(0)664/9673522;Kinderbetreuung;Kinderkrippe;Stadt Graz - Stadtvermessung;47,076309;15,394169
1720520,66900000;5956788,23980000;3;Städt. Kinderkrippe Schönbrunngasse;Schönbrunngasse 30a;8043;Graz;-;Kinderbetreuung;Kinderkrippe;Stadt Graz - Stadtvermessung;47,090069;15,455700
1716625,42750000;5956342,50420000;4;Wiki Kinderkrippe Überfuhrgasse;Überfuhrgasse 6neben Sportplatz;8020;Graz;+43 676 4773140;Kinderbetreuung;Kinderkrippe;Stadt Graz - Stadtvermessung;47,087345;15,420709
1716203,41010000;5958262,94450000;5;Städt. Kinderkrippe Weinzöttlstraße, Arland;Weinzöttlstraße 3;8045;Graz;-;Kinderbetreuung;Kinderkrippe;Stadt Graz - Stadtvermessung;47,099091;15,416918
1718581,91320000;5956542,51260000;6;Kinderkrippe der Österr. Hochschülerschaft;Hochsteingasse 16;8010;Graz;+43(0)316/672420;Kinderbetreuung;Kinderkrippe;Stadt Graz - Stadtvermessung;47,088566;15,438284
1722161,80140000;5953054,11570000;7;SBZ Waltendorf Kinderkrippe;Mannagettaweg 1;8010;Graz;-;Kinderbetreuung;Kinderkrippe;Stadt Graz - Stadtvermessung;47,067226;15,470443
1724988,57080000;5953560,77790000;8;Städt. Kinderkrippe Lustbühelstraße;Lustbühelstraße 28;8010;Graz;-;Kinderbetreuung;Kinderkrippe;Stadt Graz - Stadtvermessung;47,070328;15,495836
1715368,30710000;5952412,05430000;9;Wiki Kinderkrippe Reininghausstraße;Reininghausstraße 11a;8020;Graz;+43(0)316/587630;Kinderbetreuung;Kinderkrippe;Stadt Graz - Stadtvermessung;47,063297;15,409415
1716547,49670000;5953809,19940000;10;Kinderkrippe Verein Kindernest;Mohsgasse 6;8020;Graz;+43(0)316/721235;Kinderbetreuung;Kinderkrippe;Stadt Graz - Stadtvermessung;47,071846;15,420009
1721627,81460000;5951745,03170000;11;Nanoversity-TU Betriebskinderkrippe;Petersgasse 136;8010;Graz;+43(0)316/873-30590;Kinderbetreuung;Kinderkrippe;Stadt Graz - Stadtvermessung;47,059216;15,465646
1715931,60890000;5950108,17870000;12;GiP Kinderkrippe Wiesenauergasse;Wiesenauergasse 3;8053;Graz;+43(0)316/273756;Kinderbetreuung;Kinderkrippe;Stadt Graz - Stadtvermessung;47,049198;15,414475
